"customerID","gender","Partner","Dependents","tenure","PhoneService","PaperlessBilling","MonthlyCharges","TotalCharges","NEW_AVG_Charges","NEW_Increase","NEW_AVG_Service_Fee","Churn"
"7590-VHVEG","0","1","0","1","0","1","29.85","29.85","14.925","0.5","14.925","0"
"5575-GNVDE","1","0","0","34","1","0","56.95","1889.5","53.985714285714","0.94794932898533","14.2375","0"
"3668-QPYBK","1","0","0","2","1","1","53.85","108.15","36.05","0.669452181987","13.4625","1"
"7795-CFOCW","1","0","0","45","0","0","42.3","1840.75","40.016304347826","0.94601192311646","10.575","0"
"9237-HQITU","0","0","0","2","1","1","70.7","151.65","50.55","0.71499292786421","35.35","1"
"9305-CDSKC","0","0","0","8","1","1","99.65","820.5","91.166666666667","0.91486870714166","19.93","1"
"1452-KIOVK","1","0","1","22","1","1","89.1","1949.4","84.75652173913","0.95125164690382","22.275","0"
"6713-OKOMC","0","0","0","10","0","0","29.75","301.9","27.445454545455","0.92253628724217","14.875","0"
"7892-POOKP","0","1","0","28","1","1","104.8","3046.05","105.03620689655","1.0022538826007","17.466666666667","1"
"6388-TABGU","1","0","1","62","1","0","56.15","3487.95","55.364285714286","0.98600686935504","14.0375","0"
"9763-GRSKD","1","1","1","13","1","1","49.95","587.45","41.960714285714","0.84005434005434","16.65","0"
"7469-LKBCI","1","0","0","16","1","0","18.95","326.8","19.223529411765","1.0144342697501","9.475","0"
"8091-TTVAX","1","1","0","58","1","0","100.35","5681.1","96.289830508475","0.95953991538091","20.07","0"
"0280-XJGEX","1","0","0","49","1","1","103.7","5036.3","100.726","0.97132111861138","17.283333333333","1"
"5129-JLPIS","1","0","0","25","1","1","105.5","2686.05","103.30961538462","0.97923806051768","15.071428571429","0"
"3655-SNQYZ","0","1","1","69","1","0","113.25","7895.15","112.78785714286","0.9959192683696","14.15625","0"
"8191-XWSZG","0","0","0","52","1","0","20.65","1022.95","19.300943396226","0.93467038238385","10.325","0"
"9959-WOFKT","1","0","1","71","1","0","106.7","7382.25","102.53125","0.96093017806935","17.783333333333","0"
"4190-MFLUW","0","1","1","10","1","0","55.2","528.35","48.031818181818","0.87014163372859","13.8","1"
"4183-MYFRB","0","0","0","21","1","1","90.05","1862.9","84.677272727273","0.94033617687144","18.01","0"
"8779-QRDMV","1","0","0","1","0","1","39.65","39.65","19.825","0.5","13.216666666667","1"
"1680-VDCWW","1","1","0","12","1","0","19.8","202.25","15.557692307692","0.78574203574204","9.9","0"
"1066-JKSGK","1","0","0","1","1","0","20.15","20.15","10.075","0.5","10.075","1"
"3638-WEABW","0","1","0","58","1","1","59.9","3505.1","59.408474576271","0.99179423332673","14.975","0"
"6322-HRPFA","1","1","1","49","1","0","59.6","2970.3","59.406","0.99674496644295","11.92","0"
"6865-JZNKO","0","0","0","30","1","1","55.3","1530.6","49.374193548387","0.89284255964534","13.825","0"
"6467-CHFZW","1","1","1","47","1","1","99.35","4749.15","98.940625","0.99587946653246","19.87","1"
"8665-UTDHZ","1","1","1","1","0","0","30.2","30.2","15.1","0.5","15.1","1"
